user,entityId,entityType,eventType
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,435574,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573775,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,573802,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,610764,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,627724,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,736351,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,599734,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,427507,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,653012,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,752072,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,752059,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,745017,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,721085,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,730950,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,463922,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,749881,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,756619,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,677778,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,744658,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,482937,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,583007,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,443392,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,463919,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,596227,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,757345,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,738329,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,758807,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,15389,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,661041,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,596206,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,716349,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,657877,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,677334,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,603453,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,751335,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,765672,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,543745,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,650607,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,664789,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,641627,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,441568,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,744967,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761934,product,impression
jD9eFgC_exKP1f0_tNtx4OYKk0bgb_ZL,678681,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,769187,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,755719,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761212,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,762959,product,impression
vDvIFriy2NK_iufEBBN-2xyq_Xpfi4Ou,761342,product,impression
